Siruta,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
20297,166932.0,150292.0,149510.0,142762.0,138082.0,145164.0,155884.0,144526.0,117170.0,107480.0,110252.0,139708.0,126980.0,182500.0,164664.0,245334.0
20313,4992.0,2988.0,8430.0,8816.0,4886.0,8496.0,7798.0,6580.0,2266.0,2196.0,2008.0,2328.0,5060.0,6460.0,7596.0,7402.0
20359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1942.0,882.0
20411,4524.0,3512.0,5608.0,11258.0,8174.0,0.0,0.0,0.0,0.0,0.0,4682.0,10432.0,14692.0,23980.0,24372.0,28646.0
20466,18428.0,24608.0,14196.0,19288.0,19656.0,14840.0,19060.0,16006.0,15326.0,14100.0,9456.0,7354.0,16026.0,11892.0,15036.0,16498.0
20563,42566.0,31464.0,48496.0,62186.0,65326.0,81698.0,66854.0,48224.0,34950.0,29048.0,35822.0,48834.0,33608.0,30322.0,32080.0,28650.0
20670,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248.0,416.0
20821,16284.0,12176.0,10348.0,10860.0,8756.0,6772.0,10190.0,7046.0,2516.0,3782.0,5502.0,7084.0,8516.0,8274.0,16056.0,18210.0
20876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,526.0,2416.0,3870.0,3554.0,10226.0,12256.0
20910,303266.0,372258.0,365576.0,337392.0,321416.0,312772.0,237562.0,241094.0,272106.0,122678.0,162534.0,153218.0,178980.0,113040.0,203088.0,154540.0
20965,132264.0,136074.0,126854.0,101308.0,94770.0,113578.0,115208.0,123122.0,87638.0,103002.0,128758.0,118440.0,110046.0,132094.0,136596.0,135566.0
21098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,430.0,0.0,0.0,0.0,0.0,0.0
21123,794.0,654.0,2778.0,490.0,272.0,756.0,334.0,206.0,356.0,142.0,0.0,0.0,0.0,0.0,0.0,0.0
21249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3646.0,3490.0,7236.0,0.0,0.0,0.0
21338,2702.0,2672.0,5154.0,1272.0,1202.0,802.0,0.0,0.0,0.0,0.0,0.0,0.0,2004.0,1700.0,2148.0,784.0
21757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,994.0,1186.0,984.0,1252.0,1228.0
21855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,444.0,650.0
22166,53728.0,45154.0,57844.0,16864.0,13738.0,18662.0,12220.0,11636.0,9014.0,5554.0,3606.0,7458.0,6100.0,2714.0,6760.0,2562.0
22380,0.0,0.0,0.0,286.0,1086.0,910.0,116.0,0.0,0.0,0.0,2158.0,0.0,0.0,0.0,0.0,0.0
22576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,258.0,418.0,8.0
22718,374.0,670.0,1032.0,1434.0,0.0,788.0,1184.0,0.0,0.0,0.0,0.0,40.0,26.0,30.0,354.0,272.0
22781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,988.0,2738.0
23350,0.0,0.0,0.0,0.0,0.0,8644.0,14722.0,9302.0,1506.0,670.0,0.0,2948.0,8918.0,6386.0,902.0,0.0
23715,0.0,0.0,0.0,2040.0,2914.0,4058.0,3548.0,3190.0,2052.0,1304.0,1176.0,1008.0,1340.0,1018.0,746.0,912.0
23797,34548.0,26800.0,25556.0,19688.0,20920.0,12876.0,16484.0,7366.0,2804.0,1318.0,0.0,178.0,602.0,1678.0,2650.0,1064.0
23948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1726.0,1068.0,484.0,570.0,722.0
24631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3068.0,3830.0
24711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,882.0
